county_fips,2_or_more_cars_p,0_or_1_car_p,EV DC Fast Count,EV Level1 EVSE Num,EV Level2 EVSE Num,nhb_percentage,hisp_percentage,pov_percentage,white_percentage,state_y,county_name,state_po,party,state_party
01001,0.6600047359696898,0.3399952640303102,0.0,0.0,0.0,0.1897644927536232,0.027681159420289855,0.15257246376811595,0.7502173913043478,ALABAMA,AUTAUGA,AL,REPUBLICAN,REPUBLICAN
01003,0.63790033324006,0.36209966675994,20.0,0.0,26.0,0.0938411490243,0.04494322632107522,0.10404743713570423,0.8301883165871403,ALABAMA,BALDWIN,AL,REPUBLICAN,REPUBLICAN
01005,0.5510559547136947,0.44894404528630527,0.0,0.0,2.0,0.473159568691335,0.04289814599332868,0.2558761926925762,0.4614847568070747,ALABAMA,BARBOUR,AL,REPUBLICAN,REPUBLICAN
01007,0.6523391812865498,0.3476608187134503,0.0,0.0,0.0,0.2208017046211213,0.02428197274381853,0.12709193412349626,0.7458161317530075,ALABAMA,BIBB,AL,REPUBLICAN,REPUBLICAN
01009,0.6952912621359224,0.30470873786407765,0.0,0.0,0.0,0.014224997831555208,0.09126550438025847,0.1425969294821754,0.8714025500910747,ALABAMA,BLOUNT,AL,REPUBLICAN,REPUBLICAN
01011,0.5580493211415904,0.44195067885840955,0.0,0.0,0.0,0.7624613601236476,0.004926584234930448,0.30042503863987635,0.21522411128284388,ALABAMA,BULLOCK,AL,DEMOCRAT,REPUBLICAN
01013,0.571258199165176,0.4287418008348241,16.0,0.0,0.0,0.45078651685393256,0.0033458177278401996,0.2317103620474407,0.5185518102372035,ALABAMA,BUTLER,AL,REPUBLICAN,REPUBLICAN
01015,0.6372437989918505,0.3627562010081496,2.0,0.0,9.0,0.20519904776798903,0.036516707501433564,0.18088064084519279,0.7247997358772524,ALABAMA,CALHOUN,AL,REPUBLICAN,REPUBLICAN
01017,0.5975880437999408,0.4024119562000592,0.0,0.0,0.0,0.393750369538225,0.02270442854608881,0.16351327381304323,0.5579140306273281,ALABAMA,CHAMBERS,AL,REPUBLICAN,REPUBLICAN
01019,0.6999811427493872,0.30001885725061284,0.0,0.0,0.0,0.049007852086798434,0.015394731752601245,0.14802924225428385,0.9178818705759486,ALABAMA,CHEROKEE,AL,REPUBLICAN,REPUBLICAN
01021,0.6772729986269477,0.3227270013730524,0.0,0.0,1.0,0.09360346005007968,0.07776007284315957,0.1828818575005691,0.8013885727293422,ALABAMA,CHILTON,AL,REPUBLICAN,REPUBLICAN
01023,0.6024299065420561,0.3975700934579439,0.0,0.0,0.0,0.4260038240917782,0.0055831739961759086,0.21904397705544934,0.5636711281070745,ALABAMA,CHOCTAW,AL,REPUBLICAN,REPUBLICAN
01025,0.5987390468048728,0.40126095319512717,0.0,0.0,0.0,0.45815393447328495,0.0019682617788165826,0.24964120227990322,0.5287653257883298,ALABAMA,CLARKE,AL,REPUBLICAN,REPUBLICAN
01027,0.6629106187929718,0.33708938120702825,0.0,0.0,0.0,0.1473314396770818,0.03102107938406339,0.17977276124981312,0.802810584541785,ALABAMA,CLAY,AL,REPUBLICAN,REPUBLICAN
01029,0.6828501571777855,0.3171498428222145,0.0,0.0,1.0,0.026308742803588164,0.024233498460302583,0.18201901191591913,0.9264292408622306,ALABAMA,CLEBURNE,AL,REPUBLICAN,REPUBLICAN
01031,0.6437414725352468,0.35625852746475317,1.0,0.0,1.0,0.17052721884261426,0.0691974730931212,0.14826080174699735,0.706266573077523,ALABAMA,COFFEE,AL,REPUBLICAN,REPUBLICAN
01033,0.6436992522592779,0.35630074774072207,2.0,0.0,2.0,0.15709698137443803,0.024754564638957702,0.16120745022479127,0.786585925314249,ALABAMA,COLBERT,AL,REPUBLICAN,REPUBLICAN
01035,0.49781372977700045,0.5021862702229996,12.0,0.0,0.0,0.4763464919290395,0.008390602525171808,0.2199136966597411,0.5013584785040754,ALABAMA,CONECUH,AL,REPUBLICAN,REPUBLICAN
01037,0.6929076285644651,0.30709237143553497,0.0,0.0,0.0,0.34205435283279595,0.004606172270842929,0.13440810686319668,0.6526024873330263,ALABAMA,COOSA,AL,REPUBLICAN,REPUBLICAN
01039,0.6258662046908315,0.37413379530916846,0.0,0.0,3.0,0.12824288506331824,0.01617091911863136,0.17943294690905195,0.833873256405451,ALABAMA,COVINGTON,AL,REPUBLICAN,REPUBLICAN
01041,0.6266666666666667,0.37333333333333335,0.0,0.0,2.0,0.226974395961053,0.01983411467724486,0.15492246664262532,0.7117922827262892,ALABAMA,CRENSHAW,AL,REPUBLICAN,REPUBLICAN
01043,0.6725349821021802,0.32746501789781973,0.0,0.0,0.0,0.011589906819092975,0.04304301872122265,0.15588060209201463,0.921191063380025,ALABAMA,CULLMAN,AL,REPUBLICAN,REPUBLICAN
01045,0.6221746116764864,0.37782538832351364,0.0,0.0,6.0,0.19512739823368186,0.062328697594152875,0.17862145975027915,0.6903867627652015,ALABAMA,DALE,AL,REPUBLICAN,REPUBLICAN
01047,0.49718413320274246,0.5028158667972575,0.0,0.0,0.0,0.70246571235854,0.01029253791001524,0.3059531839416423,0.27540033475730097,ALABAMA,DALLAS,AL,DEMOCRAT,REPUBLICAN
01049,0.6641665391091383,0.3358334608908618,2.0,0.0,0.0,0.01375,0.14353932584269663,0.21769662921348315,0.806755617977528,ALABAMA,DEKALB,AL,REPUBLICAN,REPUBLICAN
01051,0.6530899358336479,0.3469100641663521,0.0,0.0,14.0,0.21115106141949466,0.028899669999507462,0.11650987538787372,0.7322932571541152,ALABAMA,ELMORE,AL,REPUBLICAN,REPUBLICAN
