Cluster,Political party affiliation (county-level),Vehicle ownership: percentage of households with 2 or more cars,Number of Level 3 chargers,Number of Level 1 chargers,Number of Level 2 chargers,Percentage of Non-Hispanic Black population,Percentage of Hispanic population,Percentage of the population below the poverty line,Percentage of white population,State
0.0,0.0,0.682035362168181,2.019343986543314,0.002523128679562658,4.370058873002523,0.0239282504184722,0.055120817645132054,0.12833135220333922,0.8838327783403549,"AL, AR, FL, ID, IN, IA, KS, KY, LA, MS, MO, MT, NE, NC, ND, OH, OK, SC, SD, TN, TX, UT, WV, WY"
1.0,1.0,0.6182989253434393,575.0,15.714285714285714,2460.0,0.1390661576293725,0.2888412918727625,0.12011764727834853,0.3247034979961104,"CA, GA"
2.0,0.0,0.6533121676300817,5.0212765957446805,0.0182370820668693,10.229483282674773,0.04009668273577211,0.055215773852973805,0.12426830708379183,0.8649776980946974,"AZ, CA, CO, CT, DE, GA, IL, ME, MD, MI, MN, NV, NH, NJ, NM, NY, OR, PA, VT, VA, WA, WI"
3.0,1.0,0.6092241771567136,31.962264150943398,0.33962264150943394,128.16037735849056,0.07705790605425246,0.10853828140042797,0.11728387368504924,0.7273839499788589,"AK, AZ, CA, CO, CT, DE, FL, GA, HI, ID, IL, IN, IA, KS, KY, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, OH, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY"
4.0,0.005226480836236934,0.5857226807331801,3.294425087108014,0.010452961672473868,6.620209059233449,0.19071505166740785,0.06434417446225442,0.20766487747271486,0.6886324630614599,"AL, AK, AZ, AR, CA, FL, GA, ID, IL, IN, KS, KY, LA, MD, MI, MS, MO, MT, NE, NV, NC, ND, OH, OK, SC, SD, TN, TX, UT, VA, WV"
5.0,0.22727272727272727,0.6240863136576202,9.454545454545455,0.005050505050505051,21.86868686868687,0.031041033792030007,0.5300593721967678,0.17546868492251239,0.3994770796117708,"AZ, AR, CA, CO, FL, GA, ID, KS, NE, NJ, NM, OK, OR, TX, VA, WA"
6.0,0.9705882352941176,0.5100231329382223,7.4,0.029411764705882353,41.27647058823529,0.4920969936726096,0.05543260615324268,0.2415956790309993,0.3641515224261555,"AL, AZ, AR, FL, GA, IN, KS, LA, MD, MA, MI, MS, MO, MT, NJ, NM, NY, NC, ND, OH, PA, SC, SD, TN, VA, WI"
